"delGcox","delGd","delGcat","delGan","delGdis","lambda","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_biom","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_biom","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_biom","C_num","CUE"
-82.3826828123618,-659.061462498894,-291.238453042639,-6.80230705262229,465.116279069768,1.57367259449783,-1,-8.75,4.25,0,0,0,4.25,0,3.75,0,-0.14,-0.3,0.12,-0.2,0,0,0.319999999999999,0,0,1,-1.71367259449783,-14.069635201856,6.80810852661578,-0.2,0,0,7.00810852661578,0,5.90127222936687,1,8,0.0729427548770654
-82.3769138814451,-411.884569407225,-191.190763733472,-10.6401018311296,465.116279069767,2.37708228349459,-1,-2.25,2.75,0,0,0,2.75,0,2.25,0,-0.233333333333333,0.4,0.166666666666666,-0.2,0,0,0.366666666666666,0,0,1,-2.61041561682793,-4.94843513786283,6.7036429462768,-0.2,0,0,6.9036429462768,0,5.34843513786284,1,5,0.0766161521217959
-82.4403721215287,-329.761488486115,-72.2853818667366,15.8997309066632,535.207521157493,7.62404842904707,-1,-5.125,1.375,2,1,0,1.375,0,2.625,0,-0.25,-0.35625,-0.13125,0.3,0.25,0,0.0687499999999992,0,0.13125,1,-7.87404842904707,-39.4294981988662,10.3518165899397,15.5480968580941,7.87404842904707,0,10.5518165899397,0,20.1443771262485,1,4,0.0317498682225219
-82.426483954507,-741.838355590563,-202.364608388056,11.4861198857855,515.750872465677,2.60538142786524,-1,-7.5,3.5,0,0,0,3.5,0,5.5,0,-0.111111111111111,0.0916666666666669,-0.0861111111111111,-0.2,0,0,0.113888888888888,0,0.0861111111111111,1,-2.71649253897635,-19.4486940423226,9.03272388641721,-0.2,0,0,9.23272388641721,0,14.4157089643699,1,9,0.0409024171857218
-82.3813092573816,-576.669164801671,-257.889223272917,-7.68795200150855,465.116279069767,1.77373959742465,-1,-6.25,3.75,0,0,0,3.75,0,3.25,0,-0.161538461538462,-0.0846153846153843,0.130769230769231,-0.2,0,0,0.33076923076923,0,0,1,-1.93527805896311,-11.1704878685194,6.78229272111166,-0.2,0,0,6.98229272111166,0,5.76465369163011,1,7,0.0738173732686678
-82.4538329603343,-824.538329603343,-137.935378618333,20.177538511514,554.065503735723,4.16313093855467,-1,-7,3,0,0,0,3,0,7,0,-0.1,0.225,-0.175,-0.2,0,0,0.024999999999999,0,0.175,1,-4.26313093855467,-28.9169165698827,12.314392815664,-0.2,0,0,12.514392815664,0,29.3169165698827,1,10,0.0234569384429705
-82.3922976972229,-576.74608388056,-233.444608388056,-1.04561488486112,465.116279069767,1.98792624678433,-1,-5.5,3.5,0,0,0,3.5,0,3.5,0,-0.15,0.100000000000001,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,1,-2.13792624678433,-10.8335943573138,7.00774186374516,-0.2,0,0,7.20774186374516,0,6.95774186374516,1,7,0.0668204261358478
-82.4211423518064,-659.369138814451,-193.459993503195,9.78857718544787,508.267546045746,2.67784627638085,-1,-5.75,3.25,0,0,0,3.25,0,4.75,0,-0.125,0.20625,-0.0687500000000001,-0.2,0,0,0.131249999999999,0,0.0687500000000001,1,-2.80284627638085,-15.1913660891899,8.63425039823775,-0.2,0,0,8.83425039823775,0,12.788519812809,1,8,0.0445975225446203
-82.443577083149,-741.992193748341,-153.475378618334,16.9182565268657,539.697517009454,3.62674312027942,-1,-6,3,0,0,0,3,0,6,0,-0.111111111111111,0.258333333333334,-0.141666666666667,-0.2,0,0,0.0583333333333327,0,0.141666666666667,1,-3.73785423139053,-21.5021253883432,10.7385626941716,-0.2,0,0,10.9385626941716,0,21.9021253883432,1,9,0.0297259080297993
-89.5172976972229,-716.138381577783,-348.315372121528,-14.7930757236667,465.116279069767,1.29286054934429,-1,-11.75,4.25,0,0,2,6.25,0,3.75,0,-0.14,-0.72,0.12,-0.2,0,0.28,0.599999999999999,0,0,1,-1.43286054934429,-15.9111114547954,5.61465733471324,-0.2,0,2.86572109868858,8.68037843340182,0,4.8482270600411,1,8,0.0872380777439945
-82.3922976972229,-741.530679275006,-300.1430679275,-1.04561488486118,465.116279069768,1.54616485861004,-1,-9.5,4.5,0,0,0,4.5,0,4.5,0,-0.116666666666667,-0.183333333333333,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,1,-1.6628315252767,-14.8718994901287,7.00774186374516,-0.2,0,0,7.20774186374516,0,6.95774186374516,1,9,0.0668204261358478
-82.3922976972229,-494.353786183337,-200.095378618334,-1.04561488486115,465.116279069767,2.31924728791505,-1,-3,3,0,0,0,3,0,3,0,-0.175,0.4,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,1,-2.49424728791505,-6.55774186374516,7.00774186374516,-0.2,0,0,7.20774186374516,0,6.95774186374516,1,6,0.0668204261358479
-82.3730679275006,-658.984543420005,-315.683067927501,-13.3813838157779,465.116279069768,1.4309760045722,-1,-8.5,4.5,0,0,0,4.5,0,3.5,0,-0.15,-0.349999999999999,0.2,-0.2,0,0,0.399999999999999,0,0,1,-1.5809760045722,-12.5132960388637,6.6393920205749,-0.2,0,0,6.8393920205749,0,5.0084160160027,1,8,0.079065083618283
-82.4008442615439,-741.607598353895,-275.69845304264,3.33791492416504,479.830905650009,1.75252641152632,-1,-8.75,4.25,0,0,0,4.25,0,4.75,0,-0.111111111111111,-0.0472222222222217,-0.00277777777777788,-0.2,0,0,0.197222222222221,0,0.00277777777777788,1,-1.86363752263743,-15.3818283230775,7.44545947120909,-0.2,0,0,7.64545947120909,0,8.32727823252781,1,9,0.0596205591277567
-82.4093908258649,-741.684517432785,-251.253838157778,6.05398324470522,491.8042279219,1.98149494876161,-1,-8,4,0,0,0,4,0,5,0,-0.111111111111111,0.0361111111111116,-0.0305555555555557,-0.2,0,0,0.169444444444443,0,0.0305555555555557,1,-2.09260605987272,-15.8158484789818,7.89542423949089,-0.2,0,0,8.09542423949089,0,9.93803029936361,1,9,0.0530970034168157
-82.3922976972229,-659.138381577783,-266.793838157779,-1.04561488486118,465.116279069767,1.73943546593629,-1,-7,4,0,0,0,4,0,4,0,-0.13125,0.00625000000000042,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,1,-1.87068546593629,-12.169798261554,7.00774186374514,-0.2,0,0,7.20774186374514,0,6.95774186374515,1,8,0.066820426135848
-82.417937390186,-741.761436511674,-226.809223272918,8.77005156524532,503.777550193787,2.25981816066752,-1,-7.25,3.75,0,0,0,3.75,0,5.25,0,-0.111111111111111,0.119444444444445,-0.0583333333333333,-0.2,0,0,0.141666666666666,0,0.0583333333333333,1,-2.37092927177863,-16.2642372203951,8.41598476916987,-0.2,0,0,8.61598476916987,0,11.9223786768378,1,9,0.0468639501117456
